Date,Open,High,Low,Close,Volume
06/26/2009,"3.20","3.15","3.15","3.15","2,488,100"
06/25/2009,"3.20","3.20","3.20","3.20","5,482,900"
06/24/2009,"3.30","3.20","3.20","3.20","5,620,300"
06/23/2009,"3.40","3.30","3.30","3.30","5,241,700"
06/22/2009,"3.45","3.40","3.40","3.40","8,173,700"
06/19/2009,"3.55","3.45","3.45","3.45","20,677,600"
06/18/2009,"3.30","3.55","3.55","3.55","21,594,801"
06/17/2009,"3.15","3.30","3.30","3.30","8,859,900"
06/16/2009,"3.05","3.15","3.15","3.15","10,668,900"
06/15/2009,"3.00","3.05","3.05","3.05","12,258,100"
06/12/2009,"2.95","3.00","3.00","3.00","14,362,400"
06/11/2009,"2.85","2.95","2.95","2.95","13,303,200"
06/10/2009,"2.80","2.85","2.85","2.85","2,851,200"
06/09/2009,"2.80","2.80","2.80","2.80","6,086,000"
06/08/2009,"2.85","2.80","2.80","2.80","6,184,400"
06/05/2009,"2.80","2.85","2.85","2.85","17,610,699"
06/04/2009,"2.80","2.80","2.80","2.80","6,755,900"
06/03/2009,"2.75","2.80","2.80","2.80","11,144,600"
06/02/2009,"2.75","2.75","2.75","2.75","18,622,000"
05/29/2009,"2.80","2.75","2.75","2.75","17,267,301"
05/28/2009,"2.80","2.80","2.80","2.80","13,841,500"
05/27/2009,"2.80","2.80","2.80","2.80","10,892,700"
05/26/2009,"2.80","2.80","2.80","2.80","22,992,600"
05/25/2009,"2.85","2.80","2.80","2.80","10,069,200"
05/22/2009,"2.85","2.85","2.85","2.85","8,188,700"
05/21/2009,"2.95","2.85","2.85","2.85","20,093,500"
05/20/2009,"2.95","2.95","2.95","2.95","23,721,400"
05/19/2009,"3.00","2.95","2.95","2.95","5,699,900"
05/18/2009,"2.95","3.00","3.00","3.00","3,232,000"
05/15/2009,"2.85","2.95","2.95","2.95","1,443,000"
05/14/2009,"2.80","2.85","2.85","2.85","1,539,100"
05/13/2009,"2.80","2.80","2.80","2.80","3,807,500"
05/12/2009,"2.85","2.80","2.80","2.80","5,860,700"
05/11/2009,"2.80","2.85","2.85","2.85","8,707,700"
05/08/2009,"2.80","2.80","2.80","2.80","3,010,400"
05/07/2009,"2.80","2.80","2.80","2.80","13,491,900"
05/06/2009,"2.80","2.80","2.80","2.80","4,791,400"
05/05/2009,"2.80","2.80","2.80","2.80","15,829,200"
05/04/2009,"2.85","2.80","2.80","2.80","4,919,500"
04/30/2009,"2.80","2.85","2.85","2.85","3,176,500"
04/29/2009,"2.75","2.80","2.80","2.80","1,917,800"
04/28/2009,"2.75","2.75","2.75","2.75","4,370,200"
04/27/2009,"2.80","2.75","2.75","2.75","5,275,500"
04/24/2009,"2.80","2.80","2.80","2.80","8,669,300"
04/23/2009,"2.80","2.80","2.80","2.80","12,099,500"
04/22/2009,"2.85","2.80","2.80","2.80","3,601,800"
04/21/2009,"2.80","2.85","2.85","2.85","10,874,900"
04/20/2009,"2.75","2.80","2.80","2.80","11,223,300"
04/16/2009,"2.80","2.80","2.80","2.80","8,447,600"
04/15/2009,"2.85","2.80","2.80","2.80","2,931,200"
04/14/2009,"2.85","2.85","2.85","2.85","2,262,700"
04/09/2009,"2.80","2.85","2.85","2.85","2,289,000"
04/08/2009,"2.85","2.80","2.80","2.80","3,205,700"
04/07/2009,"2.90","2.85","2.85","2.85","5,456,700"
04/06/2009,"2.90","2.90","2.90","2.90","1,443,500"
04/03/2009,"2.90","2.90","2.90","2.90","1,340,600"
04/02/2009,"2.95","2.90","2.90","2.90","5,771,600"
04/01/2009,"3.00","2.95","2.95","2.95","1,781,200"
03/31/2009,"3.05","3.00","3.00","3.00","8,381,100"
03/30/2009,"3.15","3.05","3.05","3.05","5,072,000"
03/27/2009,"3.15","3.15","3.15","3.15","5,161,900"
03/26/2009,"3.05","3.05","3.05","3.05","1,540,700"
03/25/2009,"3.05","3.05","3.05","3.05","16,828,400"
03/24/2009,"3.05","3.05","3.05","3.05","3,510,900"
03/23/2009,"3.10","3.05","3.05","3.05","2,665,600"
03/20/2009,"3.05","3.10","3.10","3.10","2,311,020"
03/19/2009,"3.10","3.05","3.05","3.05","5,408,100"
03/18/2009,"3.00","3.10","3.10","3.10","1,826,700"
03/17/2009,"2.95","3.00","3.00","3.00","3,647,100"
03/16/2009,"2.95","2.95","2.95","2.95","4,349,207"
03/13/2009,"2.95","2.95","2.95","2.95","6,313,000"
03/12/2009,"2.75","2.85","2.85","2.85","5,817,000"
03/11/2009,"2.75","2.75","2.75","2.75","882,100"
03/10/2009,"2.70","2.75","2.75","2.75","2,449,900"
03/09/2009,"2.70","2.70","2.70","2.70","4,169,132"
03/06/2009,"2.70","2.70","2.70","2.70","10,379,100"
03/05/2009,"2.60","2.70","2.70","2.70","2,100,700"
03/04/2009,"2.65","2.60","2.60","2.60","7,869,363"
03/03/2009,"2.60","2.65","2.65","2.65","6,584,700"
03/02/2009,"2.55","2.60","2.60","2.60","9,312,800"
02/27/2009,"2.60","2.55","2.55","2.55","5,214,900"
02/26/2009,"2.70","2.60","2.60","2.60","3,449,000"
02/25/2009,"2.80","2.70","2.70","2.70","4,648,799"
02/24/2009,"2.90","2.80","2.80","2.80","4,007,200"
02/23/2009,"3.00","2.90","2.90","2.90","3,657,750"
02/20/2009,"3.00","3.00","3.00","3.00","2,483,200"
02/19/2009,"3.00","3.00","3.00","3.00","5,111,700"
02/18/2009,"3.10","3.00","3.00","3.00","5,414,400"
02/17/2009,"3.10","3.10","3.10","3.10","1,780,500"
02/16/2009,"3.10","3.10","3.10","3.10","3,224,200"
02/13/2009,"3.15","3.10","3.10","3.10","2,436,600"
02/12/2009,"3.15","3.15","3.15","3.15","7,797,351"
02/11/2009,"3.15","3.15","3.15","3.15","3,990,300"
02/10/2009,"3.10","3.15","3.15","3.15","3,579,800"
02/09/2009,"3.10","3.10","3.10","3.10","2,014,250"
